title,authors,year,venue,doi,arxiv_identifier,ssrn_identifier,canonical_source,asset_class,instrument_type,prediction_or_decision_target,forecast_horizon,input_data,data_frequency,dataset_period,split_design,validation_design,leakage_controls,cost_assumptions,execution_assumptions,forecast_metrics,economic_metrics,reported_result,independent_replication_evidence,negative_evidence,official_code_availability,code_license,data_license,main_limitations,repository_relevance,implementation_suitability,final_disposition,verification_scope
Advantage-Weighted Regression: Simple and Scalable Off-Policy Reinforcement Learning,Peng; Kumar; Zhang; Levine,2019,arXiv,,1910.00177,,https://arxiv.org/abs/1910.00177,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,continuous control,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Weighted regression extracts a policy from higher-advantage actions.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Advantage errors can magnify unsupported rare actions.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Advantage errors can magnify unsupported rare actions.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
AWAC: Accelerating Online Reinforcement Learning with Offline Datasets,Nair; Dalal; Gupta; Levine,2020,arXiv,,2006.09359,,https://arxiv.org/abs/2006.09359,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,robotics and continuous control,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Advantage-weighted actor-critic combines offline initialization and further interaction.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Live fine-tuning is prohibited in this repository task.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Live fine-tuning is prohibited in this repository task.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Decision Transformer: Reinforcement Learning via Sequence Modeling,Chen; Lu; Rajeswaran; Lee; Grover; Laskin; Abbeel; Srinivas; Mordatch,2021,NeurIPS,,2106.01345,,https://arxiv.org/abs/2106.01345,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,Atari; Gym; Key-to-Door,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Condition action sequences on desired return and previous states/actions.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Desired returns outside trajectory support do not create achievable performance.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Desired returns outside trajectory support do not create achievable performance.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Reject,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
A Distributional Perspective on Reinforcement Learning,Bellemare; Dabney; Munos,2017,ICML,,,,https://proceedings.mlr.press/v70/bellemare17a.html,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,Atari,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Learn a categorical distribution of discounted returns.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Aleatoric return dispersion is not epistemic calibration or tail safety.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Aleatoric return dispersion is not epistemic calibration or tail safety.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Distributional Reinforcement Learning with Quantile Regression,Dabney; Rowland; Bellemare; Munos,2018,AAAI,,1710.10044,,https://arxiv.org/abs/1710.10044,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,Atari,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Quantile regression approximates the value distribution without fixed categorical support.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Tail estimation requires enough adverse outcomes and valid dynamics.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Tail estimation requires enough adverse outcomes and valid dynamics.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Implicit Quantile Networks for Distributional Reinforcement Learning,Dabney; Ostrovski; Silver; Munos,2018,ICML,,,,https://proceedings.mlr.press/v80/dabney18a.html,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,Atari,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Sample quantile fractions to learn flexible return distributions.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Distortion risk policies still need external risk limits.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Distortion risk policies still need external risk limits.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Constrained Policy Optimization,Achiam; Held; Tamar; Abbeel,2017,ICML,,,,https://proceedings.mlr.press/v70/achiam17a.html,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,constrained simulated control,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Trust-region constrained policy updates target expected-cost limits.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Expected constraints do not establish pathwise drawdown or permission invariants.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Expected constraints do not establish pathwise drawdown or permission invariants.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Risk-Sensitive and Robust Decision-Making: a CVaR Optimization Approach,Chow; Tamar; Mannor; Pavone,2015,NeurIPS,,1506.02188,,https://arxiv.org/abs/1506.02188,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,risk-sensitive MDP examples,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Connect tail-cost objectives with robustness to transition perturbations.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Risk estimation and state augmentation assumptions matter.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Risk estimation and state augmentation assumptions matter.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Safe Reinforcement Learning via Shielding,Alshiekh; Bloem; Ehlers; Konighofer; Niekum; Topcu,2018,AAAI,,1708.08611,,https://arxiv.org/abs/1708.08611,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,formal safety control examples,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",An independent reactive shield filters unsafe policy actions.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Guarantees depend on correct transition abstraction and specified safe set.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Guarantees depend on correct transition abstraction and specified safe set.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Prototype,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Doubly Robust Off-policy Value Evaluation for Reinforcement Learning,Jiang; Li,2016,ICML,,,,https://proceedings.mlr.press/v48/jiang16.html,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,sequential policy evaluation,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Combine value models with importance-weighted temporal residuals.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Long-horizon overlap and unknown propensities can destroy precision.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Long-horizon overlap and unknown propensities can destroy precision.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Prototype,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Data-Efficient Off-Policy Policy Evaluation for Reinforcement Learning,Thomas; Brunskill,2016,ICML,,,,https://proceedings.mlr.press/v48/thomasa16.html,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,policy evaluation benchmarks,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Weighted estimators and model/importance combinations trade bias for variance.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,"Disagreement is evidence of uncertainty, not a reason to select the favorable estimator.",Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,"Disagreement is evidence of uncertainty, not a reason to select the favorable estimator.",Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Deep Reinforcement Learning that Matters,Henderson; Islam; Bachman; Pineau; Precup; Meger,2018,AAAI,,1709.06560,,https://arxiv.org/abs/1709.06560,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,continuous-control RL evaluation,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Experimental choices and random seeds materially alter conclusions.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Small-seed algorithm rankings are unstable; finance adds regime uncertainty.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Small-seed algorithm rankings are unstable; finance adds regime uncertainty.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Prototype,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Deep Reinforcement Learning at the Edge of the Statistical Precipice,Agarwal; Schwarzer; Castro; Courville; Bellemare,2021,NeurIPS,,,,https://proceedings.neurips.cc/paper/2021/hash/f514cec81cb148559cf475e7426eed5e-Abstract.html,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,Atari; Procgen; control,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Use uncertainty intervals and robust aggregate comparisons with few runs.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Benchmark-level bootstrap is not a substitute for time-series block inference.,https://github.com/google-research/rliable,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Benchmark-level bootstrap is not a substitute for time-series block inference.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Prototype,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Empirical Study of Off-Policy Policy Evaluation for Reinforcement Learning,Voloshin; Le; Jiang; Yue,2021,NeurIPS Datasets and Benchmarks,,,,https://datasets-benchmarks-proceedings.neurips.cc/paper_files/paper/2021/hash/a5e00132373a7031000fd987a3c9f87b-Abstract-round1.html,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,COBS benchmark,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Stress estimator behavior across diverse logging and environment conditions.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,No universally reliable estimator; unsupported policies remain unidentified.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,No universally reliable estimator; unsupported policies remain unidentified.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
When to Trust Your Model: Model-Based Policy Optimization,Janner; Fu; Zhang; Levine,2019,NeurIPS,,1906.08253,,https://arxiv.org/abs/1906.08253,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,continuous control,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Short model rollouts limit compounding model error.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Unidentified financial dynamics can turn model error into reward.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Unidentified financial dynamics can turn model error into reward.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Reject,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Dream to Control: Learning Behaviors by Latent Imagination,Hafner; Lillicrap; Ba; Norouzi,2020,ICLR,,1912.01603,,https://arxiv.org/abs/1912.01603,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,visual control,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Learn latent dynamics and optimize behavior through imagined trajectories.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,A learned financial world model lacks validated causal impact here.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,A learned financial world model lacks validated causal impact here.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Reject,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Flow Q-Learning,Park; Li; Levine,2025,ICML,,2502.02538,,https://arxiv.org/abs/2502.02538,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,offline RL benchmarks,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Expressive flow policies combined with efficient value-based extraction.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Adds complexity without established crypto execution benefit.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Adds complexity without established crypto execution benefit.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Realistic Market Impact Modeling for Reinforcement Learning Trading Environments,Riera Abbade; Reali Costa,2026,arXiv,,2603.29086,,https://arxiv.org/abs/2603.29086,equities,cash equities,position/portfolio decisions,episodic multi-step; one-step for contextual bandit,NASDAQ-100 equity trading simulators,daily,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,historical train/OOS comparisons and Optuna tuning; no independent replication verified,no claim of financial point-in-time controls in nonfinancial benchmark,fixed 10bp vs Almgren-Chriss and square-root sensitivity,environment transition law; no exchange fill model,not applicable to policy learning,out-of-sample return; Sharpe; turnover; costs,Changing impact models changes learned turnover and algorithm rankings.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Equity simulator and tuned costs are not a crypto fill validation.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Equity simulator and tuned costs are not a crypto fill validation.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Pretrained Time-Series Foundation Models for Financial Return Forecasting,Noguer I Alonso; Pereira Franklin,2026,arXiv,,2606.27100,,https://arxiv.org/abs/2606.27100,equities,cash equities,linear and log returns,daily forecasts under rolling origin,five liquid US equities; daily 2014-09-15 to 2026-02-15,daily,2014-09-15 to 2026-02-15,rolling origin with equalized context,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,not sufficient to establish net deployable PnL,environment transition law; no exchange fill model,predictive loss; one-sided Diebold-Mariano tests,no verified executable crypto PnL,Rolling-origin foundation-model comparisons show sparse gains over random walk.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Small universe; adjusted data and pretraining overlap; no established net crypto edge.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Small universe; adjusted data and pretraining overlap; no established net crypto edge.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
Fast and Highly Expressive Policy Learning for Offline Reinforcement Learning via Bootstrapped Flow Q-Learning,Nguyen; Ton; Choe; Luu; Yoo,2026,arXiv,,2606.10613,,https://arxiv.org/abs/2606.10613,nonfinancial methodological benchmark,simulated actions,discounted reward / policy-value estimation; not a market-price forecast,episodic multi-step; one-step for contextual bandit,D4RL,simulator transition; not market calendar frequency,not applicable to simulator trajectories,training/evaluation environments or fixed logged data; no financial chronological split,primary benchmark or theoretical result; repository requires chronological purged evaluation,no claim of financial point-in-time controls in nonfinancial benchmark,financial costs not modeled; repository-specific simulator required,environment transition law; no exchange fill model,not applicable to policy learning,"task return / value-estimation error, not net trading Sharpe",Bootstrap short flow displacements into single-step action generation.,Later RL benchmark comparisons exist for established methods; no independent net crypto replication verified here,Recent preprint; independent replication and crypto transfer unestablished.,Not independently verified for this row; no code copied,No third-party code reused; verify before reuse,Benchmark-specific; no benchmark data redistributed,Recent preprint; independent replication and crypto transfer unestablished.,Sequential-control methodology; see candidate-scorecard.md,Research only; no adoption score inferred from published return,Monitor,primary source reviewed at 2026-09-17; calendar/cost claims limited to stated evidence
